,app_name,genre,size_bytes,rating_count,rating,overall_rc,overall_r,overall_score,genre_rc,genre_r,genre_score,success_score,app_name_length,app_name_words
3173,"2Face Fitpack - Dein Trainingsprogramm mit persönlichem Ernährungsplan, Kalorienrechner und Trainingsplan",Health & Fitness,34414592,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,10
3174,skyticket - Reserve Best Valued Air Tickets,Travel,8294400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,6
3175,GYMONDO – Fitness Training für Zuhause,Health & Fitness,133136384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,5
3176,Natoo,Entertainment,54135808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
3177,MeiCam -  Video Production Master,Photo & Video,133684224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,4
3178,Impossible Goal 3D,Games,179884032,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3
3179,Caf - Mon Compte,Utilities,2441216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3
3180,Superdrug,Health & Fitness,26830848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1
3181,"TLMJ, Tout Le Monde Joue",Games,22126592,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5
3182,教えて!goo,Reference,44208128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1
3183,"Otaku quizzes from manga, and anime--Slice HEROES!",Games,38242304,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,7
3184,Puzzle Game for Brain Training!! PITATTO!!,Games,66168832,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,6
3185,Puzzle Game for Brain Training -KITINTO-,Games,108787712,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,6
3186,币优铺,Finance,24213504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3187,StageCameraHD,Photo & Video,7755776,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1
3188,Eat Game,Games,58732544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2
3189,Particular,Games,260301824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1
3190,Kungfu Street-Ultimate Fight,Games,25918464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3
3191,Beautiful Japanese Handwriting for iPhone,Education,23057408,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,5
3192,GhostCallDX,Education,80192512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1
3193,ikouhoushi,Book,58945536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1
3194,Smart Channel -New Style of News Reader-,News,26721280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,7
3195,秒速,Games,13033472,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
3196,RadiTube - great radio player for am/fm radios,Entertainment,30137344,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,7
3197,Super Knock and Run,Games,42919936,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4
3198,Pokelog for PokemonGO,Games,42014720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3
3199,"real happy majiang-all stars majiang,mahjong",Games,74841088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,5
3200,Baby Learns Transportation,Education,152170496,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3
3201,airweave sleep analysis,Health & Fitness,29999104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3
3202,BrainTraining!!GASHAAAAAAN!!,Games,132264960,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1
3203,Tiny Bone,Games,113205248,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2
3204,Soccer Puzzle for Brain Training -SoccerStrike-,Games,80323584,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,6
3205,! OH Fantastic Free Kick + Kick Wall Challenge,Games,162557952,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,8
3206,Jigsaw Puzzle for Brain Training -PITATOY-,Games,92101632,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,6
3207,DaWanda - The marketplace for unique products,Shopping,51405824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,6
3208,のび毛,Games,30200832,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3209,francetv JO – Regarder les Jeux Olympiques de Rio 2016,Sports,52232192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,9
3210,Instant X - Take instant-camera-like photo with double exposure and bulb mode,Photo & Video,8614912,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,11
3211,"Official QR Code reader ""Q"" - QR app. -",Productivity,69015552,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,8
3212,vente-privee,Shopping,103776256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1
3213,SPEED:3D Racing,Games,127711232,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2
3214,Billiards9,Games,296638464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1
3215,"U Compass ( North, South, East and West )",Utilities,4199424,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,8
3216,EOPAN,Photo & Video,34338816,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
3217,大富豪 Online,Games,187623424,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
3218,Wi-Fiミレル,Utilities,30086144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1
3219,Cyber Reversi,Games,52166656,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2
3220,"Free Gameplay Video, Walkthroughs, News for Pokémon GO",Games,12994560,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,8
3221,Suppin Detective: Expose their true visage!,Entertainment,83026944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,6
